"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"202",20.1,63.295,58.9985,70.31175,72.11,67.85975,74.94025
"203",20.2,63.38,59.03875,70.51125,72.205,67.93,75.08
"204",20.3,63.475,59.08875,70.711,72.31,68.00975,75.19025
"205",20.4,63.56,59.12875,70.91075,72.41,68.08925,75.29
"206",20.5,63.65,59.17875,71.11025,72.52,68.14925,75.38025
"207",20.6,63.745,59.21875,71.31,72.63,68.219,75.49
"208",20.7,63.83,59.259,71.4905,72.74,68.27925,75.59025
"209",20.8,63.93,59.299,71.68,72.85,68.34975,75.6905
"210",20.9,64.03,59.339,71.85025,72.95,68.439,75.81025
"211",21,64.11,59.389,72.02075,73.05,68.5185,75.92
"212",21.1,64.195,59.429,72.191,73.15,68.5885,76.04
"213",21.2,64.28,59.469,72.36125,73.255,68.6585,76.14025
"214",21.3,64.36,59.509,72.53175,73.35,68.71875,76.2505
"215",21.4,64.44,59.53925,72.7215,73.445,68.78875,76.38
"216",21.5,64.525,59.57925,72.921,73.54,68.85875,76.48025
"217",21.6,64.605,59.61925,73.111,73.625,68.919,76.5705
"218",21.7,64.685,59.65925,73.30075,73.74,68.95,76.69025
"219",21.8,64.77,59.69925,73.50025,73.83,69.019,76.82
"220",21.9,64.84,59.7295,73.69025,73.92,69.07825,76.93
"221",22,64.925,59.7695,73.88,74.01,69.14725,77.04
"222",22.1,65,59.79975,74.06025,74.1,69.207,77.17
"223",22.2,65.085,59.8395,74.24075,74.2,69.2765,77.29
"224",22.3,65.165,59.86975,74.421,74.29,69.33625,77.3905
"225",22.4,65.245,59.90975,74.611,74.39,69.40575,77.501
