Age,Lower LAA,Upper LAA,Lower LAA T&R,Upper LAA T&R
19.5,63.80482186,84.12118054,40.76474706,68.54446673
19.6,63.93955001,84.30984157,40.81369487,68.65670743
19.7,64.15045148,84.57060759,40.85794544,68.76791339
19.8,64.36058176,84.65929326,40.86072277,68.87810095
19.9,64.56994368,84.74692764,40.98405981,68.98727943
20,64.73933517,84.92837405,41.0405166,69.09545807
20.1,64.77651305,85.02167886,41.07453106,69.20264604
20.2,64.87592351,85.19259816,41.08774036,69.30885239
20.3,65.03558802,85.39586622,41.1184569,69.41408613
20.4,65.18963233,85.54947186,41.19113784,69.53120441
20.5,65.3422702,85.68530761,41.19242887,69.6359629
20.6,65.4476333,85.87743191,41.1936945,69.74736731
20.7,65.61271825,86.06839219,41.25573362,69.87360507
20.8,65.63141866,86.20315182,41.36709347,69.99888322
20.9,65.66247996,86.24106722,41.40377652,70.12377483
21,65.77837899,86.27860783,41.44145587,70.26894715
21.1,65.85903816,86.39468268,41.58532495,70.37204643
21.2,66.04833068,86.55333191,41.6705406,70.49262648
21.3,66.23501188,86.71390264,41.71875204,70.55735393
21.4,66.24719178,86.84686635,41.74887763,70.64959817
21.5,66.25749748,86.94795893,41.75097365,70.74186234
21.6,66.34597521,87.0488202,41.75241948,70.83326842
21.7,66.42796278,87.1498448,41.79215424,70.91054427
21.8,66.4286489,87.28611048,41.79445709,70.98738981
21.9,66.42893274,87.45388892,41.79503418,71.06344329
22,66.42920564,87.55175076,41.79530994,71.13968792
22.1,66.42946803,87.5784136,41.84368693,71.24756941
22.2,66.42972032,87.63417549,41.89915504,71.32557354
22.3,66.42996291,87.7283241,41.89994209,71.40024368
22.4,66.43019616,87.82481084,41.90008866,71.47028743
22.5,66.43042045,87.92770189,41.95794345,71.53948635
22.6,66.43063612,88.11136431,41.96167728,71.60760612
22.7,66.4308435,88.30082145,41.96960369,71.67500764
22.8,66.43104293,88.42852636,42.00031835,71.75376622
22.9,66.4312347,88.59170359,42.02586096,71.83922969
23,66.43141911,88.75650814,42.05243364,71.92392702
