"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"98",9.7,49.64,43.53,57.902,53.82,50.64325,56.99075,55.565,51.9995,59.611
"99",9.8,49.725,43.54975,58.22125,54.05,50.86325,57.211,55.765,52.19975,59.79025
"100",9.9,49.795,43.5695,58.54075,54.275,51.093,57.43225,55.945,52.4095,59.93025
"101",10,49.88,43.5795,58.8505,54.49,51.31275,57.681,56.16,52.619,60.18
"102",10.1,49.975,43.5995,59.1015,54.73,51.53275,57.89325,56.355,52.8285,60.3425
"103",10.2,50.045,43.6095,59.3135,54.94,51.7625,58.11275,56.57,53.03775,60.573
"104",10.3,50.11,43.62925,59.63275,55.15,51.9825,58.38025,56.77,53.2375,60.82025
"105",10.4,50.185,43.63925,59.94125,55.35,52.2025,58.5905,56.945,53.44875,61.07025
"106",10.5,50.255,43.64925,60.2405,55.57,52.42225,58.802,57.14,53.64875,61.192
"107",10.6,50.33,43.65925,60.48225,55.81,52.652,58.99225,57.33,53.84775,61.29375
"108",10.7,50.405,43.669,60.724,56.015,52.872,59.22125,57.53,54.0385,61.49225
"109",10.8,50.475,43.679,61.004,56.21,53.092,59.44025,57.71,54.22925,61.7005
"110",10.9,50.535,43.67925,61.323,56.4,53.31175,59.6205,57.885,54.4295,61.92
"111",11,50.59,43.68925,61.64175,56.6,53.51225,59.83025,58.06,54.639,62.14
"112",11.1,50.65,43.68925,61.96075,56.81,53.703,60.04175,58.25,54.83875,62.35075
"113",11.2,50.71,43.69925,62.2605,57.01,53.88375,60.32025,58.445,55.02925,62.52
"114",11.3,50.78,43.6995,62.53,57.23,54.0745,60.552,58.61,55.2195,62.6615
"115",11.4,50.83,43.70925,62.7805,57.465,54.26525,60.77325,58.8,55.4,62.85025
"116",11.5,50.88,43.7095,63.031,57.7,54.45575,61.02225,58.99,55.59925,63.0305
"117",11.6,50.93,43.7095,63.28125,57.91,54.63675,61.31,59.185,55.779,63.21175
"118",11.7,50.995,43.7195,63.522,58.075,54.759,61.5505,59.375,55.94875,63.3905
"119",11.8,51.045,43.7195,63.85025,58.24,54.93975,61.84025,59.545,56.09975,63.57125
"120",11.9,51.095,43.71975,64.1215,58.425,55.1555,62.08025,59.75,56.26975,63.7405
"121",12,51.15,43.7295,64.38125,58.6,55.32225,62.29,59.9,56.449,63.8905
"122",12.1,51.195,43.7295,64.64075,58.77,55.482,62.53025,60.07,56.6285,64.02125
"123",12.2,51.245,43.72975,64.90025,58.965,55.6435,62.791,60.245,56.80825,64.2205
"124",12.3,51.29,43.72975,65.1515,59.15,55.805,63.03,60.415,56.988,64.40125
"125",12.4,51.335,43.73975,65.4,59.355,55.9665,63.21025,60.595,57.1675,64.60175
"126",12.5,51.4,43.74,65.5915,59.54,56.118,63.4,60.76,57.3475,64.81125
"127",12.6,51.435,43.74,65.822,59.72,56.24,63.60125,60.935,57.50825,64.96125
"128",12.7,51.47,43.74975,66.04275,59.905,56.26,63.84175,61.09,57.65,65.111
"129",12.8,51.5,43.7595,66.26325,60.08,56.29,64.1305,61.27,57.85,65.232
"130",12.9,51.54,43.7595,66.48375,60.255,56.31,64.3905,61.445,58.02,65.38225
"131",13,51.575,43.7695,66.7045,60.475,56.33,64.66,61.615,58.1995,65.51125
"132",13.1,51.61,43.77925,66.925,60.645,56.35,64.93025,61.77,58.36925,65.61325
"133",13.2,51.65,43.77925,67.13575,60.825,56.37,65.16025,61.94,58.5,65.7825
"134",13.3,51.68,43.789,67.37575,60.985,56.39,65.38025,62.085,58.66,65.9515
"135",13.4,51.72,43.789,67.64425,61.14,56.41,65.54075,62.23,58.82,66.12025
